Cargo,Local,Empresa,Descrição,Link
Engenheiro de Dados,"São Paulo, SP",SOS.RH CONSULTORIA,Processar e automatizar processos de criação de grandes volumes de dados.Processar e automatizar processos de criação de grandes volumes de dados.,https://www.indeed.com/company/Consultoria-SOS.RH/jobs/Engenheiro-Dados-b2780a98bd75d7df?fccid=8d474d37d870bf42&vjs=3
Engenheiro De Dados - DV,"Jaguariúna, SP",Divulga Vagas,"Construir, avaliar e executar scripts de atualização de dados de forma performática.Experiência com ferramentas de ETL e integração de dados;",https://www.indeed.com/rc/clk?jk=182f1082b2a47ad8&fccid=1abbffd7f44ec1e9&vjs=3
Analista de Engenharia de Dados Sr (SP),"São Paulo, SP",Avanade,Com a manipulação de dados e criação de processos de ETL.Experiência com técnicas de processos de ETL/Modelagem dimensional;Trabalhe com a sua paixão!,https://www.indeed.com/rc/clk?jk=c4d807954785fb75&fccid=5386281035076fdf&vjs=3
Engenheiro de Dados - Pleno,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Criação de documentação de todas rotinas realizadas.Curso de inglês e espanhol (in company) - Após 03 meses de…,https://www.indeed.com/rc/clk?jk=298506139adc0e7c&fccid=20001ab64f271f8d&vjs=3
Engenheiro de Dados,"São Paulo, SP",Semantix,Construir os processos de ingestão e integração de dados estruturados com processamento batch; Fazer a ingestão de informação não estruturada (Ex: Redes Sociais…,https://www.indeed.com/rc/clk?jk=fbc802dbcb28ecdd&fccid=20001ab64f271f8d&vjs=3
Engenheiro de Dados SR,"Porto Alegre, RS",Portocred,Desenvolver métricas e atributos de qualidade de dados em nossa plataforma de BI.Conhecimento e experiência em processos de integração de dados e ferramentas…,https://www.indeed.com/rc/clk?jk=f84fce983c0f8df0&fccid=2ce25302aaccec41&vjs=3
Engenheiro de Dados - Cielo,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Atuar no processamento de dados por meio do Spark (Python) Realizar Ingestão Batch utilizando Sqoop Realizar ingestão…,https://www.indeed.com/rc/clk?jk=b4af7870f34a59a0&fccid=20001ab64f271f8d&vjs=3
Engenheiro de Dados Pleno/Sênior,Brasil,TAKING,"Conhecimentos em ferramentas de ingestão de dados AWS e Azure.Conhecimentos em modelagem de banco de dados, SQL & NoSql, Ferramentas de ETL e linguagens de…",https://www.indeed.com/rc/clk?jk=2a8855dd757c1051&fccid=54d424b6e8c4e1e7&vjs=3
Engenheiro (a) de Dados - São Paulo,"São Paulo, SP",Newik,Acompanhar release de pacotes de aplicações.Contribuir na definição das camadas de dados e seu respectivo uso;Temos vagas para nível júnior e pleno!,https://www.indeed.com/rc/clk?jk=ad83e44933c36852&fccid=6757e1b0f3732989&vjs=3
Engenheiro de Dados Sênior,"São Paulo, SP",TAKING,"Propor, executar, validar, apresentar e implantar o uso de tecnologias e soluções para questões técnicas e também de negócios, através de ferramentas e…",https://www.indeed.com/rc/clk?jk=e906e0a91d09c0e1&fccid=54d424b6e8c4e1e7&vjs=3
