Cargo,Local,Empresa,Descrição,Link
Analista de Dados,"São Paulo, SP",Dentsu Aegis Network,Implementando técnicas de visualização de dados.Sólida experiência de trabalho em projetos de banco de dados.Gerenciando dados de múltiplas fontes.,https://tinyurl.com/y8aeyt8e
Analista de Dados,"Lopes, SP",ProjecTI,Construção de visualizações de dados através de Dashboards e outras formas de relatórios automatizados.Descobrir e avaliar a utilidade de novas fontes de dados…,https://tinyurl.com/y3cjvjp7
Analista de Dados Pl,"São Paulo, SP",B2W Digital,"Buscamos Analista de Dados para atuar na área de Qualidade, na análise de dados e geração dos indicadores de acompanhamento de Produtos & Serviços.",https://tinyurl.com/ya9jd6n4
Analista de Dados - Zona Sul,"São Paulo, SP",None,"Busca, tratamento e consolidação de bases de dados de diversas fontes de origem (quantitativas e qualitativas).Análise da evolução de volumes e resultados.",https://tinyurl.com/y85s4cah
Analista de Dados (BI),"São Paulo, SP",Semantix,Desenvolvimento contará com etapas de desenvolvimento de ciência de dados com a presença de cientista para auxiliar na construção de painéis de visão…,https://tinyurl.com/yxbgkv6x
Analista de Dados Pleno | Card Serviços,"São Paulo, SP",PicPay,"Desenvolvimento de soluções de Self - Service de dados;Você será a ""força"" de dados dentro de cada projeto e deve ser capaz de entregar de ponta a ponta as…",https://tinyurl.com/yc4zwmq2
Analista de Dados - Central Botafogo/RJ,"Rio de Janeiro, RJ",Escola Eleva,Atualizar e automatizar nossas bases de dados;Plano de saúde e odontológico.Estamos em busca de um(a) Analista de Dados para atuar na nossa Central em…,https://tinyurl.com/y74rrafq
Analista de Dados BI,"Fortaleza, CE",None,"Prover análises de indicadores utilizando conceitos de estatística através do Planner, dentre outros.Criar métricas, KPIs, extrair , tratar e comparar dados…",https://tinyurl.com/yaaemts3
Analista de Dados de Negócios,"Chácara Santo Antônio, SP",Global Empregos,"Reúne, classifica e analisa inteligência de uma variedade de fontes de campo e sistemas de informação.Conciliação de dados com equipe Global.",https://tinyurl.com/yyvfg32w
Analista de Banco de Dados (SQL),"Ribeirão Preto, SP",Integrarh Consultoria e Gestao de Pessoas LTDA - M...,Instalar e gerenciar o banco de dados e seus usuários com segurança; Efetuar e recuperar backups e restore e atender demandas de indisponibilidade e performance…,https://tinyurl.com/y8tscxhm
Analista de Dados ( Financeiro ),"Belo Horizonte, MG",Hotmart,Experiência em análise de dados para geração de relatórios e acompanhamento dos indicadores da diretoria de Operações Financeiras;.O que esperamos de você?,https://tinyurl.com/ycjj4fey
Analista de Banco de Dados Pleno,"São Paulo, SP",Genial Externo,"Administração de bancos de dados (Oracle, SQL Server e MongoDB) em ambiente crítico;Espírito de equipe e vontade de aprender;Apoio à equipe de sistemas;",https://tinyurl.com/y994urra
Analista de Privacidade e Proteção de Dados,"Florianópolis, SC",RD Station,"Participar ativamente do Programa de Privacidade da RD, através do mapeamento dos dados pessoais e seus diagnósticos de risco, como também confeccionar…",https://tinyurl.com/ycwns8lo
Analista de Dados (Marketing),"São Paulo, SP",Shopee,"Vivência na manipulação de grandes bases de dados, com o propósito de gerar os insights para a nossa área de Marketing.Quais são os pré requisitos?",https://tinyurl.com/ycmfeozb
ANALISTA DE DADOS PL (CIÊNCIA DE DADOS),"São Luís, MA",Lucre RH,"Atividades*: Ser a “voz do usuário” e entender as expectativas e pontos problemáticos que ele vê com os produtos da empresa; Criar soluções de Data Warehouse,…",https://tinyurl.com/yaysus7c
Analista de Dados - Pleno,"São Paulo, SP",MAGNA SISTEMAS,"Conhecimento em ferramentas para gestão de dados (ciclo de vida de dados, replicações de dados real time, mascaramento de dados);Local de trabalho:São Paulo.",https://tinyurl.com/y7unb6ta
Analista de Dados,"Betim, MG",Grupo Sada,O Grupo SADA está presente na vida de milhões de pessoas por meio de empresas que atuam em seis segmentos.Goste de trabalhar em equipe e se comunique bem;,https://tinyurl.com/y2kyb6l7
Analista De Rede E Comunicação De Dados – Porto Alegre – RS...,"Porto Alegre, RS",Buscar Vagas,"Atribuições: Suporte técnico informático, desempenhando atividades como manutenção de equipamentos, instalação e configuração de software e sistemas utilizados…",https://tinyurl.com/y9erzj6n
Analista De Sistemas - Engenharia De Dados,"Jaraguá do Sul, SC",WEG Germany GmbH,"Participar da análise e desenvolvimento de soluções com foco em análise de dados, sendo responsável pela coordenação de projetos de software, considerando o…",https://tinyurl.com/y7m3zjb4
