Cargo,Local,Empresa,Descrição,Rating
ANALISTA DE DADOS JR (SPECIALIST I),"São Paulo, SP",TransUnion,"
Experiência em SQL, ou outras linguagens de banco de dados similares.
Acompanhar as cargas dos arquivos recebidos das fontes.
Postado há 19 dias·","3,8"
ANALISTA DE DADOS,"Goiânia, GO",Siagri,"
Existimos para que todos os agentes da cadeia produtiva tenham informações certas, no tempo certo.
Levantar necessidades de negócio com o cliente que sejam…
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,"Home office in Porto Alegre, RS",VERO RH,"
Desejável formação (em andamento último ano ou concluída) Estatística, Matemática, Ciências Contábeis e Atuariais, Engenharias, Economia e afins.
Postado há 30+ dias·","4,6"
ANALISTA DE DADOS SR.,"São Paulo, SP",Danone,"
Desenvolver projetos de Data Science envolvendo programação de algoritmos;
Postado há 19 dias·","4,2"
ANALISTA DE DADOS - MACAÉ/RJ,Home office,Infotec Brasil,"
Atualização e automatização de planilhas com os dados extraídos do Sistema ERP (SAP) (Boletins de Avaliação de Desempenho de Fornecedores - BAD e Índice de…
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS (B.I),"Home office in São Paulo, SP",Social Tailors,Estamos à procura de um(a) Analista de Business Intelligence para realizar relatórios e análise de dados participando com insights estratégicos nos…Postado há 28 dias·,Sem informacao
ANALISTA DE DADOS E AUTOMAÇÃO EM THREAT INTELLIGENCE,"Brasília, DF",EY,"
Criar regras de consultas específicas em bases de dados;
Realizar coletas, armazenamento e processamento de dados originados de fontes abertas;
Postado há 2 dias·","4,0"
ANALISTA DE DADOS - ESPECIALISTA QLIK SENSE OU POWER BI,Home office,DOJO Technology,"
Participação de lucros no final do ano.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,Home office,Galena,"
Executar a implementação técnica das análises e produtos de dados com o apoio dos times de engenharia de software e engenharia de dados.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS - CANAIS DE RELACIONAMENTO,Home office,Central Ailos,"
Efetuar análises baseados nos nossos dados para a identificação de oportunidades relevantes para as cooperativas;
Apoiar nas apresentações estratégicas da área.
Postado há 18 dias·",Sem informacao
ANALISTA DE DADOS OPERACIONAIS (MIS),"Belo Horizonte, MG",MG GESTÕES,"
Monitorar indicadores de resultado (KPIs);
Apoiar áreas no entendimento, construção de relatórios;
EmployerAtiva 2 dias atrás·",Sem informacao
ANALISTA DE DADOS SQL (REMOTO),"Home office in Rio de Janeiro, RJ",GeekHunter,"
Ensino superior cursando ou completo em Administração, Economia, Marketing / Publicidade ou semelhantes.
Há cerca de 5 anos criou uma área de inovação Digital…
Postado há 20 dias·",Sem informacao
ANALISTA DE DADOS PL - SANTANDER,"São Paulo, SP",marketdata,"
Estruturar e manipular bases de dados do banco, criando e atualizando KPI’s da área.
Entender as necessidades em dados, identificando oportunidades e conseguir…
Postado há 1 dia·",Sem informacao
ANALISTA DE DADOS,"São Paulo, SP",IQVIA,"
Pelo menos 5 anos de experiência em várias funções de processamento de dados, como desenvolvedor/administrador de banco de dados, desenvolvedor de ETL, analista…
Postado há 18 dias·","3,8"
ANALISTA DE DADOS,"São Paulo, SP",G4 Educação,"
Participar da construção das KPIs da empresa;
Conhecimento avançado em Google Sheets ou Microsoft Excel;
Conhecimento de ferramentas de BI como PowerBI, Data…
Postado há 18 dias·",Sem informacao
ANALISTA DE DADOS - BENEFÍCIOS,"Rio de Janeiro, RJ",Eleva Educação,"
Acreditamos que um time diverso é o caminho para cumprir a nossa missão de transformar vidas e o Brasil.
Postado há 13 dias·","4,1"
ANALISTA DE DADOS PL,Home office,Iguá Saneamento,"
Ensino Superior Completo em Ciências da Computação, Engenharia, Estatísticas, Economia, Matemática ou áreas similares.
Salário compatível com o mercado.
Postado há 30+ dias·","4,4"
ANALISTA DE DADOS E NEGÓCIO (FARMACÊUTICO),"Brasília, DF",BuscarVagas,"
Baseadas no entendimento científico aceito de novos medicamentos e materiais; e sobre sobre questões baseadas na rentabilidade dos insumos faturáveis.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS SENIOR,Home office,RankMyAPP,"
Promovemos autonomia e espaço para você se desenvolver;
Avaliações 360° duas vezes por ano.
Postado há 15 dias·",Sem informacao
ANALISTA DE DADOS,+1 localHome office,Indra,"
O analista ira apoiar nas ações comerciais, através de segmentação de público para campanhas, avaliação de resultados das campanhas, geração de bases com foco…
Postado há 30+ dias·","3,8"
ANALISTA DE DADOS,"Goiânia, GO",RTS ENTREGAS,"Experiência com analise de dados Pacote office Excel Avançado Power BI Data studio Dash Raciocínio lógico. Tipo de vaga: Tempo integral, Efetivo CLT…EmployerAtiva 7 dias atrás·",Sem informacao
ANALISTA DE DADOS JÚNIOR (INDICADORES E FOLLOW-UP),"São Paulo, SP",Duratex,"
O nascimento da Hydra é marcado pela Inovação.
Experiência com SAP módulo MM (desejável);
Postado há 18 dias·","4,5"
ANALISTA DE DADOS JR (PLANEJAMENTO COMERCIAL),Home office,MadeiraMadeira,"
Experiência prática no uso de ferramentas de BI (Looker, Tableau, PowerBI, etc.).
Conhecimento básico sobre plataformas cloud (preferencialmente plataforma AWS)…
Postado há 30+ dias·","3,2"
ANALISTA DE DADOS PL,Home office,Lojas Quero-Quero,"
Modelagem e estrutura de dados do Data Warehouse;
Somos uma empresa que acredita no valor das pessoas.
Conhecimento de Banco de Dados SQL Postgres ou Oracle;
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS SÊNIOR - ANALYTICS,Home office,Duratex,"
Vivência com SQL e análise de dados logísticos (OTIF, Lead Time, etc);
Experiência com modelagem de dados e especificação de arquitetura de soluções de BI &…
Postado há 30+ dias·","4,5"
ANALISTA DE DADOS,"Home office in Fortaleza, CE",HubLocal,"
Desejável conhecimento de soluções de dados em Cloud;
Fornecer dados para interpretações estratégias através de dashboards em BI para o cliente interno e…
EmployerAtiva 1 dia atrás·",Sem informacao
ANALISTA DE DADOS,"Fortaleza, CE",Grupo Accord,"
Benefícios: *Alimentação; Vale transporte; Plano de saúde e odontológico.
Ter conhecimento em CONSULTAS SQL e POWER BI.
EmployerAtiva 2 dias atrás·","4,5"
ANALISTA DE DADOS JR,"São Paulo, SP",BBC Digital,"
Desejável experiência em construção de Dashboards em PowerBI.
Postado há 18 dias·","4,2"
ANALISTA DE DADOS - EÓLICA E SOLAR,"Florianópolis, SC",WINDWERK Jobs,"
Experiência em Energia em Eólica ou Solar é um plus.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS SENIOR,"Home office in São Paulo, SP",Saúde iD,"
Nosso time gera os principais indicadores de performance da empresa, através de dashboard e relatórios para nossos clientes, Analise e explora oportunidades de…
Postado há 1 dia·",Sem informacao
ANALISTA DE DADOS E BUSINESS INTELLIGENCE (BI) PLENO (REMOTO...,"Home office in Vila Mariana, SP",Lean Saúde,"
Automatização da captura e extração de dados obtidos por fontes diversas (API, RPA/web scraping, SFTP, bancos de dados, planilhas, e-mail, etc.).
Postado há 7 dias·",Sem informacao
ANALISTA DE DADOS,"Farroupilha, RS",Grendene,"
Atitude proativa, trabalho em equipe, colaboração e comunicação, complementam o perfil.
Experiência em Supply Chain será um diferencial;
Postado há 30+ dias·","4,3"
ANALISTA DE DADOS - (CLT- HÍBRIDO),"Campinas, SP",Facti,"
Experiência com modelagem de dados em MongoDB.
Experiência em tratamento de dados estruturados e não estruturados mediante o uso de ferramentas ETL.
PostedRecém publicada·","3,1"
ANALISTA DE DADOS - ESPECIALISTA PENTAHO,"São Paulo, SP",The Bridge Vagas,"
Tratamento de dados (estruturados e não estruturados), cargas em data lake, bancos relacionais e dimensionais.
Postado há 9 dias·",Sem informacao
ANALISTA DE DADOS JR.,"São Paulo, SP",Restoque,"
Na Restoque, acreditamos que o nosso time é quem gera o nosso sucesso!
Desejável ter experiência com o varejo;
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS PLENO,"Osasco, SP",SBT,"O SBT, com o objetivo de continuar a compartilhar alegria, entretenimento e informação aos nossos espectadores, busca mais um SBTista para fazer parte da…Postado há 30+ dias·","4,2"
ANALISTA DE DADOS COM FOCO EM VENDAS GROWTH - SELF SERVICE,Home office,Clicksign,"Já pensou em trabalhar numa empresa em que você pode construir um produto único, que facilita a vida de várias pessoas e empresas e que está num movimento de…Postado há 9 dias·",Sem informacao
ANALISTA DE DADOS II,"Brasília, DF",Experian,"Descrição da empresa Um dos nossos objetivos é sermos reconhecidos como uma companhia ágil, voltada a tecnologia e inovação. Portanto, acreditamos que…Postado há 26 dias·","3,6"
ANALISTA DE DADOS (BI),"Itajaí, SC",Clube Candeias,"
Experiência mínima de 02 (dois) anos atuando em análise de dados (BI);
Conhecimentos em ferramentas de análise de dados (R, PowerBI, Google Data Studio, etc);
Postado há 30+ dias·","3,8"
ANALISTA DE DADOS,"Hybrid remote in Vila Velha, ES",Autoglass,"
Vale alimentação ou refeição sem desconto.
No natal, enviamos uma cesta bem recheada;
Convênio com o Gympass (Desconto em academias);
Postado há 8 dias·","4,3"
ANALISTA DE DADOS E MENSURAÇÃO DE IMPACTOS,Brasil,ID_BR,"
Conhecimento básico em leitura de dados e em leitura de programação (R,Phyton, SQL);
O Instituto Identidades do Brasil é uma organização atuante na promoção da…
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS SÊNIOR,Home office,GRAFENO,"
Estamos constantemente desenvolvendo o time de dados da Grafeno, então você será responsável por otimizar o processo de apresentação dos dados de maneira que…
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS E NEGÓCIOS,Home office,Toro Investimentos,"
Conhecimento de programação em Python e em Javascript;
Ticket refeição (vale-alimentação e/ou vale-refeição);
Postado há 30+ dias·","4,0"
ANALISTA DE DADOS,"São Paulo, SP",Matrix Energia,"Nesta oportunidade você será o vínculo entre as áreas de negócio da Matrix e o universo de dados, entendendo as necessidades e traduzindo-as em análises e…Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,"Campinas, SP",Eldorado,"
Atuar na análise estatística de dados coletados automaticamente de smartphones;
Conhecimento em linguagem SQL para consultas a grandes quantidades de dados …
Postado há 14 dias·","3,7"
ANALISTA DE DADOS,"São Paulo, SP",Robert Half,"
Preparar dashboards em Power Bi com análise dos dados de negócio.
Responsável por traduzir as informações dos sistemas (ERP e Sistemas internos) em dados para…
Postado há 8 dias·","3,9"
