Cargo,Local,Empresa,Descrição,Rating
ANALISTA DE DADOS (PCD),"São Paulo, SP",Itaú Unibanco,"
Vale Refeição (Restaurantes) / Vale Alimentação (Supermercados).
Descontos exclusivos em nossos produtos financeiros.
Postado há 18 dias·","4,3"
ANALISTA DE DADOS,"Belo Horizonte, MG",RHV,"
Experiência no uso e coleta de dados em sistemas ERP.
Desenvolver e manter relatórios no Power BI, definição e acompanhamento de indicadores, extração e trativa…
EmployerAtiva 5 dias atrás·",Sem informacao
ANALISTA DE DADOS SR.,"São Paulo, SP",Danone,"
Desenvolver projetos de Data Science envolvendo programação de algoritmos;
Postado há 3 dias·","4,2"
ANALISTA DE DADOS PLENO (1 VAGA),Home office,Pottencial Seguradora,"
Estruturar o banco de dados (Data Warehouse) a ser utilizado pelo BI através de ferramentas de ETL, visando a correta disponibilização das informações da Cia.;
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS,Home office,Grupo Primo,"
Familiaridade com alguma cloud (preferência AWS);
Salário compatível com o mercado;
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,Home office,Martins,"
Limpeza de dados (identificação, correção de informações duplicadas, inválidas ou corrompidas);
Essa vaga é para você que quer fazer parte de um time que tem…
Postado há 30+ dias·","3,5"
ANALISTA DE DADOS PLENO,"Osasco, SP",LET'S - Logística e Distribuição,"
Ensino superior completo (Estatística, Economia, Engenharia, Administração e correlatas);
Conhecimento em SQL - execução de queries;
Postado há 9 dias·",Sem informacao
ANALISTA DE DADOS JÚNIOR,"São Paulo, SP",Assaí Atacadista - O atacadista que mais cresce no...,"
Experiência com banco de dados: Microsoft SQL Server, Oracle;
Especialização em Ciência Dados / Engenharia de Dados, Data Analytics ou afins (Desejável);
Postado há 30+ dias·","4,1"
ANALISTA DE DADOS OPERACIONAIS (MIS),"Belo Horizonte, MG",MG GESTÕES,"
Monitorar indicadores de resultado (KPIs);
Apoiar áreas no entendimento, construção de relatórios;
EmployerAtiva 6 dias atrás·",Sem informacao
ANALISTA DE DADOS,"São Paulo, SP",G4 Educação,"
Participar da construção das KPIs da empresa;
Conhecimento avançado em Google Sheets ou Microsoft Excel;
Conhecimento de ferramentas de BI como PowerBI, Data…
Postado há 2 dias·",Sem informacao
ANALISTA DE DADOS (BI) JR,"Contagem, MG+1 local",J&T Express Brasil,"
Chegamos para revolucionar o mercado de entregas expressas no país.
Postado há 5 dias·",Sem informacao
ANALISTA DE DADOS,"São Paulo, SP",IQVIA,"
Pelo menos 5 anos de experiência em várias funções de processamento de dados, como desenvolvedor/administrador de banco de dados, desenvolvedor de ETL, analista…
Postado há 1 dia·","3,8"
ANALISTA DE DADOS - CANAIS DE RELACIONAMENTO,Home office,Central Ailos,"
Efetuar análises baseados nos nossos dados para a identificação de oportunidades relevantes para as cooperativas;
Apoiar nas apresentações estratégicas da área.
Postado há 1 dia·",Sem informacao
ANALISTA DE DADOS JR (PLANEJAMENTO COMERCIAL),Home office,MadeiraMadeira,"
Experiência prática no uso de ferramentas de BI (Looker, Tableau, PowerBI, etc.).
Conhecimento básico sobre plataformas cloud (preferencialmente plataforma AWS)…
Postado há 30+ dias·","3,2"
ANALISTA DE DADOS,"São Paulo, SP",EY,"
Irá atuar junto a um grande banco colocando em prática conhecimentos em análise de dados;
Como Analista de Dados você irá atuar junto a um grande banco…
Postado há 30+ dias·","4,0"
ANALISTA DE DADOS CRM,Home office,Brivia,"
Experiência analisando dados de CRM.
Conhecimento para consultar bases de dados SQL.
Experiência em analise de dados de varejo;
No dress code, seja 100% você;
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS PLENO | PERFORMANCE E INSIGHTS,Home office,Globo,"
Os seus dados pessoais serão utilizados para fins de seleção de candidatos para preenchimento das vagas abertas na Globo.
Postado há 10 dias·","3,5"
ANALISTA DE DADOS (SEGURANÇA DA RECEITA),"Home office in Santa Bárbara d'Oeste, SP",AEGEA,"
Atuar na análise de dados, através de extrações em banco de dados, PowerBI, Excel e apresentações, de forma a produzir informação qualificada para tomada de…
Postado há 19 dias·",Sem informacao
ANALISTA DE DADOS JR,"São Paulo, SP",Grhats Consultoria em Recursos Humanos,"
Experiência na área de análise de dados.
Ensino superior completo em Matemática ou Estatística, ou Física ou Engenharias ou Ciência da Computação;
Postado há 10 dias·",Sem informacao
ANALISTA DE DADOS (ASSISTENTE),"Home office in São Paulo, SP",EDC Uni & Smart,"
Preparar reports junto as áreas de negócio nas ferramentas de BI disponível na empresa.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,"Home office in São Paulo, SP",Conquest One,"
Conhecimento em ferramentas de visualização de dados (Power BI).
Desenvolvimento de aplicações Spark/Hadoop/hbase com Kafka em Java.
Postado há 30+ dias·","3,8"
