Cargo,Local,Empresa,Descrição,Rating
CIENTISTA DE DADOS PLENO,"São Paulo, SP",TransUnion,"
Experiência em manuseio de banco de dados (big data).
Desenvolver modelos analíticos preditivos para todos os segmentos.
Sr Analyst, Data Science and Analytics.
Postado há 16 dias·","3,8"
CIENTISTA DE DADOS,"Salvador, BA",THS TECNOLOGIA INFORMAÇÃO E COMUNICAÇÃO,"
 Experiência mínima de dois anos na área de ciência de dados;
Experiência comprovada em ao menos três dos seguintes conhecimentos técnicos:  Conhecimento em…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS SÊNIOR (PARA CRÉDITO),Home office,Cora Bank,"
Sabemos que empreendedorismo é, sobretudo, uma via de desenvolvimento econômico.
Interagir com diferentes times da Cora para identificar oportunidades e…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",Incluir Dá Certo - Vagas para Profissionais com...,"
Empresa no segmento de consultoria em tecnologia, busca *profissionais com deficiência (PCD)* para integrar seu time de Ciência de dados.
EmployerAtiva 20 dias atrás·",Sem informacao
CIENTISTA DE DADOS PLENO,"Brasília, DF",Qualificar,"
Experiência em suporte a gestão de negócios; Experiência com SQL Server e PostgreSQL; Experiência com desenvolvimento de aplicações na GCP; e Experiência em…
EmployerAtiva 5 dias atrás·",Sem informacao
CIENTISTA DE DADOS SÊNIOR,"São Paulo, SP",Keyrus Brazil,"
Interessado por desafios, com o desejo de fazer parte da construção de uma nova área com uma nova e disruptiva oferta para o mercado Latam de ciência de dados.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"Rio de Janeiro, RJ",CASA&VIDEO,"
Vivência em analisar dados desestruturados (data munging), Data Ingestion, Web Scrapping, ambientes de Big Data, Containers e APIs;
Postado há 30+ dias·","4,0"
CIENTISTA DE DADOS | ANALISTA SÊNIOR PCD,"São Paulo, SP",Banco Next,"
Banco de dados, modelagem de dados e padrões de arquitetura (relacional, noSQL, armazenamento, ETL, ingestão de dados, pipeline...);
Postado há 19 dias·",Sem informacao
CIENTISTA DE DADOS SR,"Home office in São Paulo, SP",SBF - Vagas Tecnologia,"
Experiência em manipulação de grandes bancos de dados e sql;
Apoiar o time quanto às eventuais dúvidas relacionadas a LGPD.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"Jaraguá do Sul, SC",Grupo Malwee,"
Manipular bases de dados SQL e NOSQL.
Programar em Python, R e outros algoritmos/modelos estatísticos.
Elaborar algoritmos web crawler/scraping, inteligência…
Postado há 30+ dias·","4,2"
CIENTISTA DE DADOS PL (VAGA AFIRMATIVA PARA MULHERES),"Home office in São Paulo, SP",SBF - Vagas Tecnologia,"
Experiência em manipulação de grandes bancos de dados e sql;
Programação em Python ou R;
Conhecimento de bibliotecas estatísticas e de machine learning;
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS SR,"Brasília, DF",Digisystem,"
Data Science Council of America (DASCA).
Cientista de Dados Associado da Dell EMC (EMCDSA).
Certificação de Arquiteto de Dados da IBM.
CSM® pela Scrum Alliance.
Postado há 30 dias·","3,7"
CIENTISTA DE DADOS JR,"São Paulo, SP",Centro de Excelência Votorantim BR,"
Buscamos por cientistas de dados para integrar o time do Centro de Excelência Votorantim na área de Data Analytics.
Banco de Dados e SQL;
Postado há 20 dias·",Sem informacao
CIENTISTA DE DADOS,"Jaguariúna, SP",Stefanini,"
✓ Ser o ponto focal do time de CRM (Squads) para acompanhamento de métricas de clientes de CRM, dando o embasamento analítico necessário para tomadas de decisão…
Postado há 30+ dias·","3,8"
CIENTISTA DE DADOS,"São Paulo, SP",Curriculum.com.br,"
Criar análises de áreas de influência; Analisar e transformar os dados para criação de modelos; Transformar os dados em formatos de atributo valor para DW,…
Postado há 13 dias·","4,1"
CIENTISTA DE DADOS - PLENO,"Hortolândia, SP",IBM,"
Compreensão de tecnologias de banco de dados, estruturas de dados e SQL.
Como Cientista de dados na IBM, você ajudará a transformar os dados de nossos clientes…
Postado há 12 dias·","3,9"
CIENTISTA DE DADOS MACHINE LEARNING PLENO,"Home office in São Paulo, SP",GeekHunter,"
Conhecimento profundo e prático, preferencialmente envolvendo cursos na área, das técnicas, práticas e frameworks que envolvam Machine Learning.
Postado há 25 dias·",Sem informacao
CIENTISTA DE DADOS - CENTRO,"Iguatu, CE",Jobbol,"Empresa admite Cientista de Dados em Iguatu (Centro) para atuar em Tempo integral, Comercial. Analisar dados estatísticos dos bancos de dados da empresa.…Postado há 18 dias·",Sem informacao
CIENTISTA DE DADOS SENIOR,"Brasília, DF",Qualificar,"
Experiência em análise de dados e em suporte a gestão de negócios; Experiência com SQL Server e PostgreSQL; Experiência no desenvolvimento de aplicações na GCP;…
EmployerAtiva 19 dias atrás·",Sem informacao
CIENTISTA DE DADOS PLENO/SÊNIOR,Home office,LogComex,"
Fazer análises estatísticas que garantam a relevância dos dados;
Otimizar modelos de machine learning para serem aplicados em grandes volumes de dados;
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS PLENO AWS (REMOTO),"Home office in Rio de Janeiro, RJ",GeekHunter,"
Dará suporte a todo o ambiente em Nuvem da empresa.
Dará suporte aos sistemas da CIA.
Experiência com Cloud AWS (EKS, Fargate tasks, RDS, AWS Config, Route 53,…
Postado há 12 dias·",Sem informacao
CIENTISTA DE DADOS,"Rio de Janeiro, RJ+1 local",BuscarVagas,"
Conhecimento em linguagens de programação de análise de dados (R, Python e SQL), conhecimentos estatísticos (gestão de dados, modelagem estatística, inferência…
Postado há 20 dias·",Sem informacao
CIENTISTA DE DADOS,"Itaberaí, GO",Michael Page,"
Experiência prévia como cientista de dados ou analista de dados;
Identificar oportunidades de aproveitar dados da organização para gerar ou aprimorar soluções…
Postado há 30+ dias·","3,5"
CIENTISTA DE DADOS JUNIOR,"São Carlos, SP",DOMVS SERVICE IT,"
Conhecimento em análise exploratória e mineração de dados;
Experiência no uso de banco de dados (ex.: Oracle, SQL Server, MySQL, PostgreSQL, Azure SQL, MariaDB…
Postado há 30+ dias·","3,0"
CIENTISTA DE DADOS,"Brasília, DF",Divulga Vagas,Mínima de 3 (três) anos com ferramentas analíticas (OLAP) e de integração de dados (ETL). II – Conhecimentos curriculares comprovados de: a) Banco de dados…Postado há 30+ dias·,Sem informacao
CIENTISTA DE DADOS DE RISCO - SÊNIOR,"Home office in Vitória, ES",Mollica IT,"
Desenvolver novos modelos estatísticos para diminuir o risco de fraude e disponibilização de fundos.
Compreender o processo de engenharia de recursos e…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS JÚNIOR,"Porto Alegre, RS",EY,"
Conhecimento em análise exploratória e mineração de dados;
Experiência no uso de banco de dados (ex.: Oracle, SQL Server, MySQL, PostgreSQL, Azure SQL, MariaDB…
Postado há 30+ dias·","4,0"
CIENTISTA DE DADOS - COE_TAX,"São Paulo, SP",EY,"
Sólida experiência em projetos de dados;
Construir soluções de dados e análises com base na stack Microsoft Azure;
Experiência com programação em Python e SQL;
Postado há 30+ dias·","4,0"
